Sub-Category,Measure Names,Profit,Sales
Tables,Profit,,
Supplies,Profit,,
Storage,Profit,,
Phones,Profit,,
Paper,Profit,,
Machines,Profit,,
Labels,Profit,,
Furnishings,Profit,,
Fasteners,Profit,,
Envelopes,Profit,,
Copiers,Profit,,
Chairs,Profit,,
Bookcases,Profit,,
Binders,Profit,,
Art,Profit,,
Appliances,Profit,,
Accessories,Profit,,
Accessories,Sales,41936.6357,167380.318
Appliances,Sales,18138.0054,107532.161
Art,Sales,6527.787000000,27118.792
Binders,Sales,30221.7633,203412.733
Bookcases,Sales,-3472.556,114879.9963
Chairs,Sales,26590.1663,328449.103
Copiers,Sales,55617.8249,149528.03
Envelopes,Sales,6964.1767,16476.402
Fasteners,Sales,949.5182,3024.28
Furnishings,Sales,13059.1436,91705.164000000
Labels,Sales,5546.254,12486.312
Machines,Sales,3384.756900000,189238.631
Paper,Sales,34053.5693,78479.206000000
Phones,Sales,44515.7306,330007.054
Storage,Sales,21278.8264,223843.608
Supplies,Sales,-1189.0995,46673.538
Tables,Sales,-17725.4811,206965.532
