State,Profit,Quantity
Kentucky,41.9136,2
Kentucky,219.582,3
California,6.8714,2
Florida,-383.031,5
Florida,2.5164,2
California,14.1694,7
California,1.9656,4
California,90.7152,6
California,5.7825,3
California,34.47,5
California,85.309200000,9
California,68.3568,4
North Carolina,5.4432,3
Washington,132.5922,3
Texas,-123.858,5
Texas,-3.816,3
Wisconsin,13.3176,6
Utah,9.990000000,2
California,2.4824,2
California,16.011,3
California,7.384,4
Nebraska,5.0596,7
Nebraska,15.6884,7
Pennsylvania,-1.0196,2
Utah,240.2649,3
California,4.2224,2
California,11.7741,3
Pennsylvania,-1665.0522,7
Pennsylvania,-7.0532,2
Pennsylvania,15.525,3
Pennsylvania,1.1016,2
Pennsylvania,9.709200000,6
Pennsylvania,-5.715,6
Pennsylvania,3.546,2
Texas,9.9468,3
Texas,123.4737,7
Texas,-147.963,5
Texas,35.415,9
Texas,-46.9764,3
Texas,-15.147,3
Texas,41.7564,4
Illinois,16.5564,4
California,3.894000000,2
Florida,9.561600000,2
Minnesota,19.7714,2
Minnesota,8.2062,2
Michigan,8.478400000,4
Delaware,4.95,3
Delaware,6.104,2
Indiana,17.9634,6
Indiana,35.3346,6
Indiana,2.9568,2
Indiana,17.0981,1
New York,6.2566,7
New York,298.6855,5
New York,52.14,6
New York,15.552,5
New York,7.098000000,5
New York,6.9888,2
New York,3.3,2
New York,16.362,4
New York,0.84,1
California,6.1512,2
California,9.3612,6
California,68.9631,3
California,22.3328,4
Illinois,-15.2225,5
Arizona,111.3024,8
Arizona,62.988,4
Virginia,35.6636,2
New York,1.731,1
Michigan,8.763,3
Tennessee,-114.3912,8
Tennessee,1.213,2
Tennessee,-18.196,1
Texas,-1.9344,3
Texas,-5.8248,3
Texas,2.724,3
Texas,-14.475,5
Alabama,56.2032,1
Alabama,8.0352,3
California,4.172,5
California,6.2031,1
North Carolina,62.8075,7
Illinois,-48.9549,3
South Carolina,33.2156,2
Minnesota,6.7966,1
Minnesota,2.9568,2
Texas,13.8572,7
California,6.633,3
California,8.2782,2
California,3.1104,1
Minnesota,6.2208,2
Minnesota,16.5354,3
Minnesota,16.1504,2
Oregon,-3.788,1
New York,40.5426,7
California,17.9592,3
Minnesota,22.5852,6
Illinois,22.6184,7
Illinois,-10.7973,3
Illinois,-3.0396,3
Minnesota,11.7208,4
Colorado,-26.8758,6
Colorado,-3.838500000,3
Colorado,-25.8174,3
North Carolina,17.6016,8
North Carolina,2.0994,1
North Carolina,1.0738,1
Illinois,67.992,5
New York,10.9096,2
Iowa,22.788,2
Iowa,13.3476,6
Ohio,14.5348,14
Ohio,1.652,2
Ohio,7.4925,3
Ohio,44.0316,6
Washington,165.3813,3
Tennessee,-115.7156,1
Delaware,18.3456,3
Delaware,13.878,4
Delaware,63.4368,6
Delaware,51.759,9
Delaware,19.7316,7
Texas,-8.579400000,3
Illinois,-407.682,6
Arizona,-1.8308,2
Arizona,30.499,7
California,-9.1602,2
California,26.2416,3
Ohio,-11.994,5
Ohio,29.364,2
Ohio,6.9732,9
California,9.6192,3
California,16.6568,1
California,3.456,4
California,1.9698,2
California,26.6616,3
California,18.4464,6
